9/10/15,0
9/11/15,0
9/12/15,0
9/13/15,0
9/14/15,0
9/15/15,0
9/16/15,0
9/17/15,0
9/18/15,0
9/19/15,0
9/20/15,0
9/21/15,0
9/22/15,0
9/23/15,0
9/24/15,0
9/25/15,0
9/26/15,0
9/27/15,0
9/28/15,0
9/29/15,0
9/30/15,0
10/1/15,0
10/2/15,0
10/3/15,0
10/4/15,0
10/5/15,0
10/6/15,0
10/7/15,0
10/8/15,0
10/9/15,0
10/10/15,0
10/11/15,0
10/12/15,0
10/13/15,0
10/14/15,0
10/15/15,0
10/16/15,0
10/17/15,0
10/18/15,0
10/19/15,0
10/20/15,0
10/21/15,0
10/22/15,0
10/23/15,0
10/24/15,0
10/25/15,0
10/26/15,0
10/27/15,0
10/28/15,0
10/29/15,0
10/30/15,1
10/31/15,1
11/1/15,0
11/2/15,0
11/3/15,0
11/4/15,2
11/5/15,2
11/6/15,4
11/7/15,4
11/8/15,3
11/9/15,2
11/10/15,1
11/11/15,5
11/12/15,4
11/13/15,4
11/14/15,4
11/15/15,4
11/16/15,6
11/17/15,9
11/18/15,6
11/19/15,5
11/20/15,5
11/21/15,4
11/22/15,4
11/23/15,4
11/24/15,4
11/25/15,4
11/26/15,4
11/27/15,4
11/28/15,5
11/29/15,5
11/30/15,7
12/1/15,6
12/2/15,5
12/3/15,5
12/4/15,4
12/5/15,4
12/6/15,4
12/7/15,4
12/8/15,4
12/9/15,3
12/10/15,3
12/11/15,2
12/12/15,6
12/13/15,6
12/14/15,5
12/15/15,12
12/16/15,9
12/17/15,8
12/18/15,8
12/19/15,7
12/20/15,7
12/21/15,7
12/22/15,6
12/23/15,11
12/24/15,11
12/25/15,11
12/26/15,18
12/27/15,17
12/28/15,16
12/29/15,15
12/30/15,15
12/31/15,17
1/1/16,16
1/2/16,16
1/3/16,15
1/4/16,15
1/5/16,15
1/6/16,16
1/7/16,17
1/8/16,18
1/9/16,19
1/10/16,19
1/11/16,18
1/12/16,17
1/13/16,17
1/14/16,16
1/15/16,15
1/16/16,16
1/17/16,15
1/18/16,15
1/19/16,15
1/20/16,15
1/21/16,15
1/22/16,15
1/23/16,15
1/24/16,15
1/25/16,17
1/26/16,17
1/27/16,16
1/28/16,16
1/29/16,15
1/30/16,15
1/31/16,15
2/1/16,24
2/2/16,27
2/3/16,25
2/4/16,24
2/5/16,27
2/6/16,25
2/7/16,24
2/8/16,24
2/9/16,23
2/10/16,23
2/11/16,22
2/12/16,22
2/13/16,22
2/14/16,22
2/15/16,22
2/16/16,22
2/17/16,21
2/18/16,20
2/19/16,21
2/20/16,21
2/21/16,21
2/22/16,21
2/23/16,22
2/24/16,21
2/25/16,20
2/26/16,20
2/27/16,20
2/28/16,19
2/29/16,19
3/1/16,19
3/2/16,18
3/3/16,17
3/4/16,17
3/5/16,17
3/6/16,16
3/7/16,17
3/8/16,18
3/9/16,17
3/10/16,17
3/11/16,16
3/12/16,15
3/13/16,16
3/14/16,15
3/15/16,16
3/16/16,15
3/17/16,15
3/18/16,14
3/19/16,14
3/20/16,14
3/21/16,13
3/22/16,11
3/23/16,12
3/24/16,12
3/25/16,11
3/26/16,11
3/27/16,13
3/28/16,11
3/29/16,11
3/30/16,13
3/31/16,11
4/1/16,12
4/2/16,12
4/3/16,12
4/4/16,11
4/5/16,10
4/6/16,9
4/7/16,8
4/8/16,6
4/9/16,5
4/10/16,5
4/11/16,4
4/12/16,4
4/13/16,3
4/14/16,3
4/15/16,2
4/16/16,9
4/17/16,5
4/18/16,3
4/19/16,2
4/20/16,2
4/21/16,1
4/22/16,0
4/23/16,0
4/24/16,0
4/25/16,0
4/26/16,1
4/27/16,0
4/28/16,3
4/29/16,5
4/30/16,3
5/1/16,3
5/2/16,2
5/3/16,4
5/4/16,2
5/5/16,1
5/6/16,0
5/7/16,0
5/8/16,0
5/9/16,0
5/10/16,0
5/11/16,0
5/12/16,0
5/13/16,0
5/14/16,0
5/15/16,0
5/16/16,0
5/17/16,0
5/18/16,0
5/19/16,0
5/20/16,0
5/21/16,0
5/22/16,0
5/23/16,0
5/24/16,0
5/25/16,0
5/26/16,0
5/27/16,0
5/28/16,0
5/29/16,0
5/30/16,0
5/31/16,0
6/1/16,0
6/2/16,0
6/3/16,0
6/4/16,0
6/5/16,0
6/6/16,0
6/7/16,0
6/8/16,0
6/9/16,0
6/10/16,0
6/11/16,0
6/12/16,0
6/13/16,0
6/14/16,0
6/15/16,0
6/16/16,0
6/17/16,0
6/18/16,0
6/19/16,0
6/20/16,0
6/21/16,0
6/22/16,0
6/23/16,0
6/24/16,0
6/25/16,0
6/26/16,0
6/27/16,0
6/28/16,0
6/29/16,0
6/30/16,0
7/1/16,0
7/2/16,0
7/3/16,0
7/4/16,0
7/5/16,0
7/6/16,0
7/7/16,0
7/8/16,0
7/9/16,0
7/10/16,0
7/11/16,0
7/12/16,0
7/13/16,0
7/14/16,0
7/15/16,0
7/16/16,0
7/17/16,0
7/18/16,0
7/19/16,0
7/20/16,0
7/21/16,0
7/22/16,0
7/23/16,0
7/24/16,0
7/25/16,0
7/26/16,0
7/27/16,0
7/28/16,0
7/29/16,0
7/30/16,0
7/31/16,0
8/1/16,0
8/2/16,0
8/3/16,0
8/4/16,0
8/5/16,0
8/6/16,0
8/7/16,0
8/8/16,0
8/9/16,0
8/10/16,0
8/11/16,0
8/12/16,0
8/13/16,0
8/14/16,0
8/15/16,0
8/16/16,0
8/17/16,0
8/18/16,0
8/19/16,0
8/20/16,0
8/21/16,0
8/22/16,0
8/23/16,0
8/24/16,0
8/25/16,0
8/26/16,0
8/27/16,0
8/28/16,0
8/29/16,0
8/30/16,0
8/31/16,0
9/1/16,0
9/2/16,0
9/3/16,0
9/4/16,0
9/5/16,0
9/6/16,0
9/7/16,0
9/8/16,0
9/9/16,0
9/10/16,0
9/11/16,0
9/12/16,0
9/13/16,0
9/14/16,0
9/15/16,0
9/16/16,0
9/17/16,0
9/18/16,0
9/19/16,0
9/20/16,0
9/21/16,0
9/22/16,0
9/23/16,0
9/24/16,0
9/25/16,0
9/26/16,0
9/27/16,0
9/28/16,0
9/29/16,0
9/30/16,0
10/1/16,0
10/2/16,0
10/3/16,0
10/4/16,0
10/5/16,0
10/6/16,0
10/7/16,0
10/8/16,0
10/9/16,0
10/10/16,0
10/11/16,0
10/12/16,0
10/13/16,0
10/14/16,0
10/15/16,0
10/16/16,0
10/17/16,0
10/18/16,0
10/19/16,0
10/20/16,0
10/21/16,0
10/22/16,0
10/23/16,0
10/24/16,0
10/25/16,0
10/26/16,0
10/27/16,0
10/28/16,0
10/29/16,0
10/30/16,0
10/31/16,0
11/1/16,0
11/2/16,0
11/3/16,0
11/4/16,0
11/5/16,0
11/6/16,0
11/7/16,0
11/8/16,0
11/9/16,0
11/10/16,0
11/11/16,0
11/12/16,0
11/13/16,0
11/14/16,0
11/15/16,0
11/16/16,0
11/17/16,0
11/18/16,0
11/19/16,0
11/20/16,0
11/21/16,0
11/22/16,6
11/23/16,6
11/24/16,4
11/25/16,3
11/26/16,2
11/27/16,2
11/28/16,4
11/29/16,4
11/30/16,3
12/1/16,3
12/2/16,3
12/3/16,3
12/4/16,3
12/5/16,3
12/6/16,3
12/7/16,3
12/8/16,3
12/9/16,3
12/10/16,3
12/11/16,3
12/12/16,3
12/13/16,3
12/14/16,2
12/15/16,1
12/16/16,1
12/17/16,8
12/18/16,7
12/19/16,7
12/20/16,7
12/21/16,6
12/22/16,6
12/23/16,6
12/24/16,5
12/25/16,12
12/26/16,11
12/27/16,10
12/28/16,9
12/29/16,9
12/30/16,8
12/31/16,8
1/1/17,8
1/2/17,8
1/3/17,8
1/4/17,8
1/5/17,8
1/6/17,13
1/7/17,13
1/8/17,12
1/9/17,11
1/10/17,11
1/11/17,11
1/12/17,12
1/13/17,15
1/14/17,16
1/15/17,17
1/16/17,20
1/17/17,20
1/18/17,19
1/19/17,18
1/20/17,18
1/21/17,19
1/22/17,20
1/23/17,18
1/24/17,24
1/25/17,23
1/26/17,23
1/27/17,23
1/28/17,23
1/29/17,23
1/30/17,22
1/31/17,22
2/1/17,21
2/2/17,21
2/3/17,21
2/4/17,21
2/5/17,21
2/6/17,20
2/7/17,20
2/8/17,19
2/9/17,19
2/10/17,18
2/11/17,18
2/12/17,22
2/13/17,22
2/14/17,22
2/15/17,22
2/16/17,22
2/17/17,21
2/18/17,21
2/19/17,23
2/20/17,22
2/21/17,22
2/22/17,22
2/23/17,22
2/24/17,22
2/25/17,22
2/26/17,22
2/27/17,22
2/28/17,24
3/1/17,23
3/2/17,22
3/3/17,22
3/4/17,22
3/5/17,22
3/6/17,22
3/7/17,22
3/8/17,21
3/9/17,21
3/10/17,20
3/11/17,19
3/12/17,18
3/13/17,17
3/14/17,17
3/15/17,16
3/16/17,15
3/17/17,14
3/18/17,13
3/19/17,12
3/20/17,11
3/21/17,10
3/22/17,9
3/23/17,9
3/24/17,10
3/25/17,9
3/26/17,10
3/27/17,10
3/28/17,11
3/29/17,10
3/30/17,9
3/31/17,9
4/1/17,14
4/2/17,16
4/3/17,14
4/4/17,15
4/5/17,14
4/6/17,12
4/7/17,11
4/8/17,10
4/9/17,10
4/10/17,10
4/11/17,10
4/12/17,9
4/13/17,8
4/14/17,6
4/15/17,5
4/16/17,4
4/17/17,4
4/18/17,3
4/19/17,2
4/20/17,2
4/21/17,2
4/22/17,1
4/23/17,0
4/24/17,0
4/25/17,0
4/26/17,0
4/27/17,1
4/28/17,0
4/29/17,1
4/30/17,1
5/1/17,0
5/2/17,0
5/3/17,0
5/4/17,0
5/5/17,0
5/6/17,0
5/7/17,0
5/8/17,0
5/9/17,0
5/10/17,0
5/11/17,0
5/12/17,0
5/13/17,0
5/14/17,0
5/15/17,0
5/16/17,0
5/17/17,0
5/18/17,2
5/19/17,0
5/20/17,0
5/21/17,0
5/22/17,0
5/23/17,0
5/24/17,0
5/25/17,0
5/26/17,0
5/27/17,0
5/28/17,0
5/29/17,0
5/30/17,0
5/31/17,0
6/1/17,0
6/2/17,0
6/3/17,0
6/4/17,0
6/5/17,0
6/6/17,0
6/7/17,0
6/8/17,0
6/9/17,0
6/10/17,0
6/11/17,0
6/12/17,0
6/13/17,0
6/14/17,0
6/15/17,0
6/16/17,0
6/17/17,0
6/18/17,0
6/19/17,0
6/20/17,0
6/21/17,0
6/22/17,0
6/23/17,0
6/24/17,0
6/25/17,0
6/26/17,0
6/27/17,0
6/28/17,0
6/29/17,0
6/30/17,0
7/1/17,0
7/2/17,0
7/3/17,0
7/4/17,0
7/5/17,0
7/6/17,0
7/7/17,0
7/8/17,0
7/9/17,0
7/10/17,0
7/11/17,0
7/12/17,0
7/13/17,0
7/14/17,0
7/15/17,0
7/16/17,0
7/17/17,0
7/18/17,0
7/19/17,0
7/20/17,0
7/21/17,0
7/22/17,0
7/23/17,0
7/24/17,0
7/25/17,0
7/26/17,0
7/27/17,0
7/28/17,0
7/29/17,0
7/30/17,0
7/31/17,0
8/1/17,0
8/2/17,0
8/3/17,0
8/4/17,0
8/5/17,0
8/6/17,0
8/7/17,0
8/8/17,0
8/9/17,0
8/10/17,0
8/11/17,0
8/12/17,0
8/13/17,0
8/14/17,0
8/15/17,0
8/16/17,0
8/17/17,0
8/18/17,0
8/19/17,0
8/20/17,0
8/21/17,0
8/22/17,0
8/23/17,0
8/24/17,0
8/25/17,0
8/26/17,0
8/27/17,0
8/28/17,0
8/29/17,0
8/30/17,0
8/31/17,0
9/1/17,0
9/2/17,0
9/3/17,0
9/4/17,0
9/5/17,0
9/6/17,0
9/7/17,0
9/8/17,0
9/9/17,0
9/10/17,0
9/11/17,0
9/12/17,0
9/13/17,0
9/14/17,0
9/15/17,0
9/16/17,0
9/17/17,0
9/18/17,0
9/19/17,0
9/20/17,0
9/21/17,0
9/22/17,0
9/23/17,0
9/24/17,0
9/25/17,0
9/26/17,0
9/27/17,0
9/28/17,0
9/29/17,0
9/30/17,0
10/1/17,0
10/2/17,0
10/3/17,0
10/4/17,0
10/5/17,0
10/6/17,0
10/7/17,0
10/8/17,0
10/9/17,0
10/10/17,0
10/11/17,0
10/12/17,0
10/13/17,0
10/14/17,0
10/15/17,0
10/16/17,0
10/17/17,0
10/18/17,0
10/19/17,0
10/20/17,0
10/21/17,0
10/22/17,0
10/23/17,0
10/24/17,0
10/25/17,0
10/26/17,0
10/27/17,0
10/28/17,0
10/29/17,0
10/30/17,0
10/31/17,0
11/1/17,0
11/2/17,0
11/3/17,0
11/4/17,0
11/5/17,0
11/6/17,0
11/7/17,0
11/8/17,0
11/9/17,0
11/10/17,0
11/11/17,0
11/12/17,0
11/13/17,0
11/14/17,0
11/15/17,0
11/16/17,0
11/17/17,0
11/18/17,1
11/19/17,1
11/20/17,0
11/21/17,0
11/22/17,0
11/23/17,0
11/24/17,0
11/25/17,0
11/26/17,0
11/27/17,0
11/28/17,0
11/29/17,0
11/30/17,0
12/1/17,0
12/2/17,0
12/3/17,0
12/4/17,0
12/5/17,0
12/6/17,0
12/7/17,0
12/8/17,0
12/9/17,0
12/10/17,0
12/11/17,0
12/12/17,0
12/13/17,0
12/14/17,0
12/15/17,0
12/16/17,0
12/17/17,0
12/18/17,0
12/19/17,0
12/20/17,0
12/21/17,1
12/22/17,4
12/23/17,3
12/24/17,2
12/25/17,2
12/26/17,2
12/27/17,2
12/28/17,2
12/29/17,1
12/30/17,1
12/31/17,1
1/1/18,1
1/2/18,1
1/3/18,0
1/4/18,0
1/5/18,0
1/6/18,0
1/7/18,2
1/8/18,1
1/9/18,1
1/10/18,2
1/11/18,2
1/12/18,2
1/13/18,2
1/14/18,2
1/15/18,1
1/16/18,1
1/17/18,1
1/18/18,1
1/19/18,1
1/20/18,1
1/21/18,5
1/22/18,4
1/23/18,4
1/24/18,4
1/25/18,3
1/26/18,3
1/27/18,2
1/28/18,2
1/29/18,2
1/30/18,2
1/31/18,1
2/1/18,1
2/2/18,1
2/3/18,0
2/4/18,0
2/5/18,0
2/6/18,0
2/7/18,1
2/8/18,0
2/9/18,0
2/10/18,0
2/11/18,1
2/12/18,1
2/13/18,4
2/14/18,9
2/15/18,9
2/16/18,8
2/17/18,6
2/18/18,4
2/19/18,3
2/20/18,5
2/21/18,5
2/22/18,5
2/23/18,7
2/24/18,11
2/25/18,9
2/26/18,8
2/27/18,7
2/28/18,6
3/1/18,6
3/2/18,6
3/3/18,5
3/4/18,4
3/5/18,6
3/6/18,6
3/7/18,6
3/8/18,5
3/9/18,5
3/10/18,4
3/11/18,4
3/12/18,4
3/13/18,3
3/14/18,3
3/15/18,3
3/16/18,6
3/17/18,5
3/18/18,4
3/19/18,6
3/20/18,6
3/21/18,5
3/22/18,4
3/23/18,4
3/24/18,8
3/25/18,7
3/26/18,6
3/27/18,6
3/28/18,6
3/29/18,5
3/30/18,5
3/31/18,5
4/1/18,4
4/2/18,4
4/3/18,3
4/4/18,3
4/5/18,2
4/6/18,2
4/7/18,2
4/8/18,1
4/9/18,1
4/10/18,0
4/11/18,0
4/12/18,0
4/13/18,0
